index,date,note,info,is-counted
0,2023-08-17,70,que 3 exo donc fac,0
1,2023-08-23,52,certains exo mal faits,
2,2023-08-30,74,"très bon travail",
3,2023-09-06,46,"trop d'exo, mauvais en Monge"
4,2023-09-13,45,motié d'exo mal fait, 0
5,2023-09-20,60,que 5 exo
6,2023-09-27,78,bon travail; bon en division eucl
7,2023-10-04,40,certain exo mal fait
8,2023-10-11,,le seul que j'ai bien fait mais c'est fac,0
9,2023-11-01,78,bien fait
10,2023-11-08,93,youpi
11,2023-11-15,98,bcp de couleurs -> excellent et parfait
12,2023-11-22,90,théorème de Rado,0
13,2023-11-29,88
14,2023-12-06,58
15,2023-12-13,88
16,2023-12-20,,Joyeux noel,0
17,2024-01-10,,fac,0
18,2024-01-17,72,pas devoir non fait :)
19,2024-01-24,32,oh sh*t
20
21,2024-02-07,71
22,2024-02-21,56
23,2024-02-28,92,wow (annexe)
24,2024-03-06,73
25,2024-03-13,61,refaire qq exo,0
